layer,head_left,head_right,linear_cka,rsa_cosine_distance_corr
21,6,7,0.9082953929901123,0.9637892842292786
21,3,6,0.8916431665420532,0.9618028998374939
21,1,3,0.8650621175765991,0.9235909581184387
21,2,6,0.8644006252288818,0.9372256994247437
21,2,3,0.8546822667121887,0.9584269523620605
21,3,7,0.8528790473937988,0.9563272595405579
21,0,1,0.8358687162399292,0.9003011584281921
21,1,6,0.8244679570198059,0.8955594897270203
21,0,3,0.8175373673439026,0.8649407625198364
21,2,7,0.8062390685081482,0.9361068606376648
21,1,5,0.8033268451690674,0.8228024244308472
21,1,2,0.7899283766746521,0.8985982537269592
21,0,2,0.7847356200218201,0.85623699426651
21,1,7,0.7697722315788269,0.8795915842056274
21,0,5,0.7634288668632507,0.8196271061897278
21,0,6,0.7600215077400208,0.8168380856513977
21,3,5,0.7076893448829651,0.7186790108680725
21,0,4,0.6978010535240173,0.7900609970092773
21,1,4,0.6923563480377197,0.7626789212226868
21,0,7,0.6873052716255188,0.7941805720329285
21,4,5,0.667097806930542,0.7160677313804626
21,2,4,0.6668930053710938,0.7612656950950623
21,3,4,0.6658920049667358,0.7361711859703064
21,2,5,0.6519479155540466,0.7267540097236633
21,5,6,0.6282329559326172,0.6614397764205933
21,4,6,0.593249499797821,0.6851622462272644
21,5,7,0.5616115927696228,0.6403692960739136
21,4,7,0.5338817238807678,0.6884676218032837
