layer,head_left,head_right,linear_cka,rsa_cosine_distance_corr
20,17,19,0.8475483059883118,0.8979089260101318
20,20,23,0.8420301675796509,0.8642996549606323
20,18,19,0.8337075710296631,0.9033228158950806
20,17,18,0.8307207822799683,0.904062032699585
20,4,7,0.8209856152534485,0.906618058681488
20,28,29,0.8069822192192078,0.8881139755249023
20,4,5,0.799026370048523,0.8911730051040649
20,10,11,0.7987019419670105,0.8157310485839844
20,5,7,0.7963612079620361,0.9213618636131287
20,16,18,0.7847073078155518,0.882750391960144
20,16,19,0.7843347787857056,0.8485032916069031
20,16,17,0.7820255160331726,0.8713059425354004
20,11,18,0.7793540954589844,0.8209689855575562
20,11,17,0.778211772441864,0.824029803276062
20,25,26,0.773235023021698,0.8706421852111816
20,22,27,0.7679319977760315,0.8762770295143127
20,0,12,0.7672722339630127,0.8838507533073425
20,11,19,0.766991913318634,0.7911204695701599
20,8,29,0.7656168937683105,0.855335533618927
20,10,18,0.7654060125350952,0.8426350355148315
20,1,2,0.765131950378418,0.8466082811355591
20,10,17,0.7642301917076111,0.8163095116615295
20,7,17,0.7627779841423035,0.8355291485786438
20,20,30,0.7617619633674622,0.818664014339447
20,2,10,0.7609328627586365,0.8321598172187805
20,10,12,0.7576415538787842,0.8221922516822815
20,11,12,0.7560101747512817,0.7970803380012512
20,0,2,0.7556426525115967,0.8482249975204468
20,4,17,0.7544177770614624,0.8309489488601685
20,8,28,0.7527591586112976,0.851996123790741
20,5,17,0.7500107288360596,0.8268752694129944
20,23,30,0.7498169541358948,0.8058426380157471
20,21,22,0.7494340538978577,0.8695536255836487
20,7,16,0.7489163875579834,0.8866992592811584
20,2,12,0.747972846031189,0.8625887036323547
20,0,1,0.747045636177063,0.8542393445968628
20,20,24,0.7459547519683838,0.8241610527038574
20,0,10,0.7452934384346008,0.811320424079895
20,1,12,0.7447852492332458,0.8644880056381226
20,10,19,0.7441851496696472,0.8191643953323364
20,7,19,0.7435268759727478,0.7926397323608398
20,22,28,0.7433139085769653,0.8248506188392639
20,7,8,0.7430267333984375,0.8718588352203369
20,1,25,0.7425534725189209,0.8517645001411438
20,0,11,0.7425507307052612,0.797261118888855
20,2,11,0.7418714165687561,0.777990996837616
20,24,30,0.741046667098999,0.818626344203949
20,1,26,0.7400447726249695,0.8458994030952454
20,12,18,0.7400331497192383,0.8253929018974304
20,23,24,0.7395787835121155,0.8235571980476379
20,4,16,0.7390639781951904,0.8649728894233704
20,14,26,0.7388508319854736,0.8490376472473145
20,30,31,0.7383614182472229,0.7880243062973022
20,12,19,0.7367992401123047,0.7884429693222046
20,21,28,0.736687958240509,0.8265244960784912
20,4,8,0.7362738251686096,0.8176296949386597
20,7,18,0.7354040741920471,0.8235865235328674
20,21,27,0.7351750135421753,0.8366037607192993
20,1,9,0.734007716178894,0.8110160231590271
20,5,19,0.7322821021080017,0.7990325093269348
20,9,20,0.7321693897247314,0.819963276386261
20,1,14,0.7303354740142822,0.8521950840950012
20,8,22,0.7302672266960144,0.887988269329071
20,4,19,0.7301813364028931,0.790574312210083
20,12,17,0.7285200953483582,0.8188497424125671
20,14,25,0.7283005714416504,0.8446306586265564
20,4,18,0.727795422077179,0.8137803673744202
20,0,3,0.7276994585990906,0.8840523958206177
20,9,11,0.726791501045227,0.7948604822158813
20,2,19,0.72491055727005,0.7943267822265625
20,22,29,0.7239433526992798,0.8118537068367004
20,23,26,0.7236648797988892,0.8559482097625732
20,0,19,0.7234336733818054,0.7774202823638916
20,0,22,0.7228814363479614,0.8640972971916199
20,11,16,0.7219303846359253,0.7874537706375122
20,0,27,0.7218385338783264,0.8492814302444458
20,20,31,0.7216397523880005,0.7785912156105042
20,2,25,0.721321165561676,0.8247626423835754
20,0,18,0.7212419509887695,0.8130981922149658
20,12,27,0.7202673554420471,0.8216652870178223
20,23,25,0.718500554561615,0.8402286767959595
20,9,10,0.7183161973953247,0.7768335938453674
20,2,17,0.7180401682853699,0.8021271824836731
20,11,23,0.7167863845825195,0.7506475448608398
20,2,26,0.7162903547286987,0.8178970813751221
20,7,28,0.7162090539932251,0.8474903106689453
20,7,22,0.7161240577697754,0.8620150685310364
20,5,18,0.7159366011619568,0.8205307126045227
20,0,17,0.7159163951873779,0.801691472530365
20,9,23,0.7152054309844971,0.776443600654602
20,4,12,0.7151380181312561,0.7999923825263977
20,12,16,0.7142996788024902,0.8263840079307556
20,0,26,0.7138035297393799,0.8304637670516968
20,9,12,0.7128060460090637,0.7932968139648438
20,12,14,0.7118532657623291,0.8361333608627319
20,2,9,0.7112123966217041,0.7829355001449585
20,24,26,0.7107047438621521,0.8334577083587646
20,0,9,0.7092629671096802,0.7818459868431091
20,11,20,0.7091431617736816,0.7928961515426636
20,2,14,0.7089418768882751,0.7917163968086243
20,5,16,0.7085031867027283,0.8742731809616089
20,9,26,0.7083897590637207,0.7931866645812988
20,23,31,0.708010733127594,0.7624384760856628
20,21,29,0.707947850227356,0.8178227543830872
20,4,22,0.7072791457176208,0.82313072681427
20,1,27,0.7068484425544739,0.8329116106033325
20,0,7,0.7067552208900452,0.8336899876594543
20,0,8,0.7067244648933411,0.87269127368927
20,7,29,0.7050980925559998,0.8480163812637329
20,4,21,0.7050272226333618,0.8478352427482605
20,20,25,0.7047362923622131,0.825375497341156
20,1,10,0.7045275568962097,0.7531610727310181
20,0,23,0.7044541239738464,0.8548654913902283
20,2,18,0.704416036605835,0.8002333045005798
20,25,27,0.7043899893760681,0.8396448493003845
20,7,12,0.7043755054473877,0.8152152299880981
20,1,11,0.7037250399589539,0.7493892312049866
20,26,30,0.7036827802658081,0.7922196984291077
20,5,6,0.7032761573791504,0.8586780428886414
20,2,27,0.703100323677063,0.8145536184310913
20,26,27,0.7029828429222107,0.8458071351051331
20,9,30,0.702971339225769,0.7752659320831299
20,0,4,0.7029086351394653,0.8055944442749023
20,12,22,0.7017103433609009,0.8241864442825317
20,4,28,0.7012187242507935,0.8188906908035278
20,12,26,0.7009987235069275,0.8273954391479492
20,7,21,0.7004498839378357,0.8624331951141357
20,0,25,0.7003498673439026,0.8298757076263428
20,11,26,0.6986208558082581,0.7327450513839722
20,11,24,0.6985527873039246,0.7720298767089844
20,12,25,0.6981396675109863,0.8417258262634277
20,1,23,0.6981213092803955,0.8328093886375427
20,4,11,0.6979891657829285,0.7736071348190308
20,8,16,0.6964044570922852,0.856494128704071
20,10,26,0.694222092628479,0.7209638357162476
20,16,28,0.6940624713897705,0.8409087061882019
20,9,24,0.6933096051216125,0.8079072833061218
20,2,7,0.6920446753501892,0.7727483510971069
20,8,12,0.6907198429107666,0.835605800151825
20,2,4,0.6906378269195557,0.7500054240226746
20,10,16,0.6899651885032654,0.7581092715263367
20,7,11,0.6899362802505493,0.7454372048377991
20,1,20,0.6897862553596497,0.8005968332290649
20,0,20,0.6894550919532776,0.819951593875885
20,1,30,0.6892696022987366,0.7704104781150818
20,13,25,0.6892542243003845,0.8009281158447266
20,2,22,0.6883473992347717,0.8085842132568359
20,5,8,0.687994658946991,0.8650976419448853
20,0,16,0.6876501441001892,0.8351230025291443
20,4,29,0.6874786615371704,0.8273934125900269
20,16,22,0.6872735619544983,0.8557503819465637
20,10,25,0.6870425939559937,0.7534452676773071
20,9,25,0.6864532232284546,0.8030902147293091
20,20,26,0.6861764192581177,0.7887285351753235
20,24,25,0.6861042976379395,0.8256476521492004
20,9,31,0.6840535402297974,0.7316706776618958
20,11,25,0.6838899850845337,0.7507529258728027
20,1,22,0.6836441159248352,0.8170345425605774
20,25,30,0.6835424900054932,0.7855589985847473
20,12,13,0.6834415793418884,0.8108953237533569
20,11,30,0.6830411553382874,0.7160375714302063
20,1,4,0.6826472878456116,0.7739028930664062
20,11,31,0.681950032711029,0.7352247834205627
20,8,21,0.6811329126358032,0.85147625207901
20,1,3,0.6807688474655151,0.8331853747367859
20,16,27,0.6800463795661926,0.7963216304779053
20,0,5,0.6796826124191284,0.8220502138137817
20,12,31,0.6795573234558105,0.7545248866081238
20,2,16,0.6795147061347961,0.787508487701416
20,8,27,0.6795004606246948,0.8504794239997864
20,7,10,0.6792223453521729,0.7043076157569885
20,5,12,0.6789646148681641,0.8089426755905151
20,12,30,0.678831934928894,0.7667846083641052
20,12,23,0.6785553097724915,0.821010172367096
20,14,27,0.67831951379776,0.796911895275116
20,5,13,0.6779572367668152,0.7783068418502808
20,4,10,0.6778224110603333,0.7085779309272766
20,5,22,0.675923228263855,0.8451207280158997
20,3,8,0.6757707595825195,0.8943118453025818
20,0,14,0.6756824851036072,0.776496171951294
20,1,8,0.6747143268585205,0.8213790655136108
20,3,7,0.6743876338005066,0.8327634930610657
20,1,15,0.6732534170150757,0.8142178654670715
20,13,14,0.6730305552482605,0.7720073461532593
20,17,25,0.672923743724823,0.7848196625709534
20,2,5,0.6727595329284668,0.7676901817321777
20,0,29,0.6725209355354309,0.7846949100494385
