layer,head_left,head_right,linear_cka,rsa_cosine_distance_corr
10,12,14,0.9030342698097229,0.9211668372154236
10,9,13,0.8994537591934204,0.9071077704429626
10,12,15,0.8916407823562622,0.9027898907661438
10,12,24,0.8803918957710266,0.9156690239906311
10,24,25,0.8752444982528687,0.89583820104599
10,10,14,0.8616642355918884,0.9176554083824158
10,10,12,0.8550029397010803,0.8934932947158813
10,14,15,0.8529378175735474,0.9040324687957764
10,4,5,0.851134717464447,0.8570027351379395
10,14,24,0.8455122113227844,0.8841190338134766
10,29,31,0.8449736833572388,0.8577552437782288
10,15,29,0.844717800617218,0.8841277956962585
10,3,29,0.8428323864936829,0.8680086731910706
10,12,25,0.8410453200340271,0.8668168187141418
10,24,30,0.8398277163505554,0.8879717588424683
10,12,29,0.8392410278320312,0.8664926290512085
10,14,28,0.8315216302871704,0.9037037491798401
10,3,12,0.8305835127830505,0.8475496172904968
10,3,15,0.8302177786827087,0.8839319944381714
10,15,28,0.8290330171585083,0.8837135434150696
10,12,28,0.8286792039871216,0.8666490316390991
10,2,13,0.8250882625579834,0.8399760127067566
10,12,30,0.8233259916305542,0.8759539723396301
10,4,6,0.8230520486831665,0.8032781481742859
10,3,4,0.8218696713447571,0.8348428606987
10,4,9,0.8217975497245789,0.802055299282074
10,7,15,0.820001482963562,0.8273144960403442
10,4,13,0.8192794919013977,0.8297708034515381
10,24,28,0.8190742135047913,0.8534584641456604
10,3,31,0.8188926577568054,0.8335855007171631
10,11,13,0.818472146987915,0.7658838033676147
10,14,30,0.818466305732727,0.8818601965904236
10,3,7,0.8171747922897339,0.824513852596283
10,15,24,0.8161047697067261,0.8605499863624573
10,10,24,0.8160314559936523,0.8631646037101746
10,21,23,0.814999520778656,0.8018575310707092
10,9,11,0.8136769533157349,0.7946276664733887
10,9,24,0.8131113052368164,0.8773424625396729
10,5,6,0.8126655220985413,0.7788792848587036
10,10,30,0.8118312358856201,0.8646245002746582
10,6,9,0.8112626671791077,0.7949155569076538
10,10,15,0.8112393021583557,0.8756728172302246
10,3,10,0.8103690147399902,0.8583974838256836
10,15,31,0.8086575269699097,0.834834635257721
10,9,25,0.8081961274147034,0.8324903845787048
10,5,7,0.8073674440383911,0.8262481689453125
10,8,9,0.8073041439056396,0.7973671555519104
10,10,29,0.8070908188819885,0.8606409430503845
10,12,31,0.8070076704025269,0.8319922089576721
10,7,12,0.8067309856414795,0.8173307776451111
10,9,12,0.8052388429641724,0.8426030874252319
10,15,25,0.8048664331436157,0.8230927586555481
10,13,25,0.8048169016838074,0.848932683467865
10,4,15,0.804200291633606,0.8519620299339294
10,4,7,0.803423285484314,0.8253530859947205
10,15,30,0.8033418655395508,0.8655931949615479
10,12,13,0.8032284379005432,0.8611857295036316
10,1,6,0.803036630153656,0.7898301482200623
10,3,5,0.8029916286468506,0.82317715883255
10,7,10,0.8022538423538208,0.8451016545295715
10,14,29,0.8016164898872375,0.8668963313102722
10,13,15,0.8009852170944214,0.8520740270614624
10,23,24,0.8007710576057434,0.8704459071159363
10,3,28,0.8004536032676697,0.865666925907135
10,9,30,0.7999033331871033,0.8674068450927734
10,10,25,0.7997069954872131,0.8311557769775391
10,13,31,0.7990390658378601,0.8288378119468689
10,3,13,0.7975873947143555,0.8154877424240112
10,14,25,0.7972228527069092,0.8444697260856628
10,9,15,0.7957462668418884,0.8298787474632263
10,10,28,0.7941322922706604,0.8728384375572205
10,25,30,0.7929421067237854,0.834019124507904
10,13,24,0.7920506000518799,0.8678444027900696
10,3,9,0.7916837334632874,0.7665276527404785
10,25,28,0.7889279723167419,0.8231768608093262
10,3,25,0.7877445220947266,0.8032771348953247
10,6,11,0.7872965931892395,0.746740460395813
10,2,3,0.78645920753479,0.7987027168273926
10,24,29,0.7836030721664429,0.8235915899276733
10,4,12,0.7832180857658386,0.8299123644828796
10,26,27,0.781423032283783,0.7941964268684387
10,6,13,0.7797070741653442,0.7835514545440674
10,3,14,0.7791905403137207,0.8607160449028015
10,28,29,0.7791476249694824,0.8283398151397705
10,6,22,0.7781844735145569,0.7305915951728821
10,2,31,0.7775693535804749,0.8124118447303772
10,3,24,0.7769925594329834,0.8026736974716187
10,3,30,0.7758808135986328,0.8161031603813171
10,25,31,0.7752557396888733,0.8035458922386169
10,9,22,0.7751832008361816,0.7488241791725159
10,28,30,0.7744439244270325,0.8407742381095886
10,25,29,0.7741577625274658,0.7966776490211487
10,13,26,0.7740918397903442,0.7781960964202881
10,29,30,0.7736011743545532,0.8342028856277466
10,2,9,0.7733647227287292,0.7903090715408325
10,7,28,0.7729195356369019,0.8065293431282043
10,13,29,0.7728743553161621,0.8134291172027588
10,7,25,0.7727327346801758,0.7725823521614075
10,8,13,0.7723081707954407,0.7522600889205933
10,4,31,0.7720346450805664,0.7898170351982117
10,7,29,0.7703160047531128,0.796606183052063
10,13,22,0.7659621834754944,0.7477883100509644
10,4,29,0.7640498280525208,0.7953742742538452
10,0,6,0.763118326663971,0.7478206753730774
10,5,15,0.7621580362319946,0.8066529035568237
10,9,23,0.7617520093917847,0.827080249786377
10,11,26,0.7617467045783997,0.7843027710914612
10,10,31,0.7602302432060242,0.8031226396560669
10,8,11,0.7601413130760193,0.7175958156585693
10,24,31,0.7598979473114014,0.8135923743247986
10,9,26,0.7582370042800903,0.8047692775726318
10,13,21,0.7575473189353943,0.7454090714454651
10,5,9,0.7573365569114685,0.7460615038871765
10,4,22,0.7559078335762024,0.7232714295387268
10,5,12,0.7556347846984863,0.8200703859329224
10,23,25,0.7550026178359985,0.7981710433959961
10,4,25,0.7525713443756104,0.7828648686408997
10,9,31,0.752526044845581,0.7848390340805054
10,7,14,0.7523016333580017,0.8128746151924133
10,12,23,0.7522333264350891,0.8434057235717773
10,7,13,0.7522080540657043,0.763757586479187
10,0,4,0.7515093684196472,0.7252105474472046
10,2,4,0.7508496642112732,0.7616676688194275
10,13,23,0.7497496008872986,0.8339887857437134
10,15,16,0.7496451139450073,0.7736467123031616
10,13,27,0.7489900588989258,0.7583063840866089
10,0,13,0.7483368515968323,0.7522140145301819
10,4,8,0.7472984194755554,0.7043071985244751
10,9,27,0.7470570802688599,0.7727516293525696
10,0,1,0.7470068335533142,0.7524828910827637
10,5,10,0.7454621195793152,0.8131420612335205
10,28,31,0.7438265085220337,0.7921020984649658
10,25,26,0.7435990571975708,0.7563759684562683
10,13,20,0.743367612361908,0.7215712666511536
10,2,29,0.7429667115211487,0.7719534635543823
10,23,30,0.7428796291351318,0.8298238515853882
10,9,29,0.7425529956817627,0.7714291214942932
10,14,31,0.7425344586372375,0.8074619174003601
10,23,28,0.7412173748016357,0.8247095346450806
10,5,25,0.7404165267944336,0.7755094766616821
10,1,5,0.7403413653373718,0.7280381321907043
10,5,22,0.7400704622268677,0.676480770111084
10,0,2,0.740018367767334,0.740550696849823
10,7,9,0.7394421696662903,0.716593861579895
10,0,9,0.7370174527168274,0.7386801838874817
10,10,23,0.7359170317649841,0.8229913115501404
10,7,31,0.7353569269180298,0.7448580861091614
10,3,23,0.7339860200881958,0.7867430448532104
10,2,6,0.7325932383537292,0.7367604970932007
10,30,31,0.7318757772445679,0.8012142181396484
10,5,13,0.7315750122070312,0.7645118236541748
10,1,22,0.7302435636520386,0.6759012937545776
10,5,29,0.7300516366958618,0.7682633996009827
10,7,24,0.7298485636711121,0.7438732385635376
10,5,28,0.7296813130378723,0.8235355019569397
10,9,10,0.7295435070991516,0.7765693068504333
10,6,8,0.7294833660125732,0.6891970038414001
10,13,28,0.7293209433555603,0.8009535670280457
10,7,30,0.7289843559265137,0.7678906321525574
10,16,28,0.7289432287216187,0.7682656645774841
10,9,21,0.7281375527381897,0.711820662021637
10,13,30,0.7271912097930908,0.8126726150512695
10,2,11,0.7271304130554199,0.7158970236778259
10,21,22,0.7264763712882996,0.7007458806037903
10,20,21,0.7258146405220032,0.682583212852478
10,4,11,0.7250990867614746,0.6433727741241455
10,8,22,0.7238317131996155,0.720714807510376
10,4,10,0.7234265208244324,0.7928725481033325
10,1,9,0.723211944103241,0.7158504724502563
10,3,6,0.7231839895248413,0.707200288772583
10,9,28,0.7218295931816101,0.7723113894462585
10,24,26,0.7209612727165222,0.7516217231750488
10,2,27,0.7208629846572876,0.7437143325805664
10,12,16,0.7192268967628479,0.7417179942131042
10,0,3,0.718643069267273,0.7188211679458618
10,22,25,0.7182881832122803,0.7186498045921326
10,15,23,0.7180479764938354,0.811449408531189
10,6,27,0.7177260518074036,0.6934459209442139
10,9,20,0.717079758644104,0.6742032766342163
10,1,4,0.7165564298629761,0.7053439021110535
10,11,22,0.7147330045700073,0.6677306294441223
10,0,11,0.7146717309951782,0.6566820740699768
10,8,21,0.7132836580276489,0.7233410477638245
10,0,5,0.7118980288505554,0.7055965065956116
10,17,18,0.7116315960884094,0.757613480091095
10,10,13,0.7106963992118835,0.7909613847732544
10,1,13,0.7104955315589905,0.7320064306259155
10,4,30,0.7096906304359436,0.772485077381134
10,2,26,0.708706259727478,0.726688027381897
10,5,30,0.7085049152374268,0.7826116681098938
10,5,31,0.7073221206665039,0.7420200109481812
10,16,29,0.707288384437561,0.7316530346870422
10,23,29,0.7071420550346375,0.7826991081237793
10,11,27,0.706099271774292,0.7080577611923218
10,11,21,0.7044894695281982,0.6567782163619995
10,1,2,0.7040432095527649,0.7324178218841553
10,25,27,0.7038646340370178,0.7324168682098389
10,1,27,0.7023804783821106,0.6830207109451294
10,7,23,0.7023504972457886,0.7168928980827332
10,0,27,0.701722264289856,0.6718935966491699
10,20,22,0.7012978196144104,0.6245360374450684
10,2,25,0.7003295421600342,0.7536470293998718
10,2,22,0.7002921104431152,0.7140839695930481
10,3,22,0.6997056603431702,0.6671319603919983
10,1,11,0.6990153789520264,0.6418179273605347
10,14,23,0.698466956615448,0.8115807175636292
10,4,28,0.6983842849731445,0.767956018447876
10,22,27,0.6957797408103943,0.7081515789031982
10,0,22,0.6948875188827515,0.6246561408042908
10,3,16,0.6943362355232239,0.7466023564338684
10,6,26,0.6941711902618408,0.6901547908782959
10,20,23,0.6941055059432983,0.6413840651512146
10,1,3,0.6936851739883423,0.7278658747673035
10,4,24,0.6935705542564392,0.7578299045562744
10,22,23,0.6933894157409668,0.6768207550048828
