model_alias,pool_last_k,pre_best_layer,pre_best_head,pre_relative_depth,pre_silhouette_cosine,pre_probe_macro_accuracy_loo,post_best_layer,post_best_head,post_relative_depth,post_silhouette_cosine,post_probe_macro_accuracy_loo,delta_post_minus_pre,post_pre_ratio,same_best_layer,same_best_head
gemma2_2b_base,1,20,5,0.8,0.022836246961846156,0.9445000000000001,20,5,0.8,0.019304125586139285,0.9428333333333333,-0.00353212137571,0.845328289644,true,true
gemma2_2b_base,3,20,5,0.8,0.060016229122581054,0.977,20,5,0.8,0.0509796800625986,0.9746666666666667,-0.00903654905998,0.849431575557,true,true
gemma2_2b_base,5,19,4,0.76,0.09290410321326996,0.98,20,5,0.8,0.07181423704874099,0.9814999999999999,-0.0210898661645,0.772993167846,false,false
gemma2_2b_it,1,25,5,1.0,0.008009812092668534,0.9045000000000001,25,0,1.0,-0.0047987160189782085,0.8949999999999999,-0.0128085281116,-0.599104693526,true,false
gemma2_2b_it,3,25,5,1.0,0.030099624919615323,0.9501666666666666,25,0,1.0,0.01290062006791282,0.9436666666666667,-0.0171990048517,0.428597369647,true,false
gemma2_2b_it,5,25,5,1.0,0.04915353532356929,0.9661666666666666,25,0,1.0,0.031324621299106375,0.9593333333333334,-0.0178289140245,0.637281145555,true,false
llama3_base,1,19,30,0.6129032258064516,0.05614685502466826,0.9446666666666667,19,30,0.6129032258064516,0.04604040357713956,0.9431666666666666,-0.0101064514475,0.81999968755,true,true
llama3_base,3,19,30,0.6129032258064516,0.13937808654442294,0.9735,19,30,0.6129032258064516,0.12076496088221152,0.9739999999999999,-0.0186131256622,0.866455867463,true,true
llama3_base,5,19,30,0.6129032258064516,0.20312006711511765,0.9818333333333334,19,30,0.6129032258064516,0.17834076149270278,0.9809999999999999,-0.0247793056224,0.878006609714,true,true
llama3_it,1,19,30,0.6129032258064516,0.05792045456445262,0.9305,19,29,0.6129032258064516,0.04830610174380439,0.9048333333333334,-0.00961435282065,0.834007642154,true,false
llama3_it,3,19,30,0.6129032258064516,0.12111844740618619,0.9683333333333333,19,30,0.6129032258064516,0.09781331675359327,0.968,-0.0233051306526,0.807583971297,true,true
llama3_it,5,19,30,0.6129032258064516,0.1806562620205341,0.9788333333333336,19,30,0.6129032258064516,0.14918177832423424,0.9791666666666666,-0.0314744836963,0.825776957055,true,true
mistral_base,1,21,18,0.6774193548387096,0.03921393995243481,0.9013333333333334,21,18,0.6774193548387096,0.036586127940936276,0.8986666666666666,-0.0026278120115,0.932987809573,true,true
mistral_base,3,21,18,0.6774193548387096,0.07561394252016224,0.9596666666666667,21,18,0.6774193548387096,0.0704959802007455,0.9569999999999999,-0.00511796231942,0.932314568599,true,true
mistral_base,5,21,18,0.6774193548387096,0.10108440155107644,0.9764999999999998,21,18,0.6774193548387096,0.09401599681227071,0.9736666666666668,-0.00706840473881,0.93007422876,true,true
mistral_it,1,21,18,0.6774193548387096,0.034515740706207,0.8929999999999999,21,18,0.6774193548387096,0.03244910195490234,0.8906666666666666,-0.0020666387513,0.940124745724,true,true
mistral_it,3,21,18,0.6774193548387096,0.06825464997063223,0.9539999999999998,21,18,0.6774193548387096,0.06365391212837775,0.9516666666666665,-0.00460073784225,0.932594514158,true,true
mistral_it,5,21,18,0.6774193548387096,0.09238185920355918,0.9733333333333332,21,18,0.6774193548387096,0.08600650724105686,0.9711666666666666,-0.0063753519625,0.930989135557,true,true
