model_alias,activation_space,sample_count,n_layers,num_heads,head_dim,pool_last_k,q_capture_stage,best_layer,best_head,best_layer_relative_depth,best_layer_head_silhouette_cosine,query_heads,activation_capture_stage,q_best_layer,q_best_head,kv_head_count,q_to_kv_group,k_best_layer,k_best_head,v_best_layer,v_best_head,q_group_matches_k,q_group_matches_v
mistral_base,q,1800,32,32,128,5,pre_rope,L21,H18,0.677,0.1018,32,projection_output_pre_attention_position_rotation,21,18,8,4,24,7,19,7,false,false
mistral_base,k,1800,32,8,128,5,pre_rope,L24,H7,0.774,0.0723,32,projection_output_pre_attention_position_rotation,21,18,8,4,24,7,19,7,false,false
mistral_base,v,1800,32,8,128,5,pre_rope,L19,H7,0.613,0.4261,32,projection_output_pre_attention_position_rotation,21,18,8,4,24,7,19,7,false,false
mistral_it,q,1800,32,32,128,5,pre_rope,L21,H18,0.677,0.0938,32,projection_output_pre_attention_position_rotation,21,18,8,4,24,7,19,7,false,false
mistral_it,k,1800,32,8,128,5,pre_rope,L24,H7,0.774,0.0616,32,projection_output_pre_attention_position_rotation,21,18,8,4,24,7,19,7,false,false
mistral_it,v,1800,32,8,128,5,pre_rope,L19,H7,0.613,0.3930,32,projection_output_pre_attention_position_rotation,21,18,8,4,24,7,19,7,false,false
llama3_base,q,1800,32,32,128,5,pre_rope,L19,H30,0.613,0.2031,32,projection_output_pre_attention_position_rotation,19,30,8,7,19,7,19,7,true,true
llama3_base,k,1800,32,8,128,5,pre_rope,L19,H7,0.613,0.3712,32,projection_output_pre_attention_position_rotation,19,30,8,7,19,7,19,7,true,true
llama3_base,v,1800,32,8,128,5,pre_rope,L19,H7,0.613,0.5605,32,projection_output_pre_attention_position_rotation,19,30,8,7,19,7,19,7,true,true
llama3_it,q,1800,32,32,128,5,pre_rope,L19,H30,0.613,0.1791,32,projection_output_pre_attention_position_rotation,19,30,8,7,19,7,19,7,true,true
llama3_it,k,1800,32,8,128,5,pre_rope,L19,H7,0.613,0.3500,32,projection_output_pre_attention_position_rotation,19,30,8,7,19,7,19,7,true,true
llama3_it,v,1800,32,8,128,5,pre_rope,L19,H7,0.613,0.5456,32,projection_output_pre_attention_position_rotation,19,30,8,7,19,7,19,7,true,true
gemma2_2b_base,q,1800,26,8,256,5,pre_rope,L19,H4,0.760,0.0980,8,projection_output_pre_attention_position_rotation,19,4,4,2,21,1,19,2,false,true
gemma2_2b_base,k,1800,26,4,256,5,pre_rope,L21,H1,0.840,0.0798,8,projection_output_pre_attention_position_rotation,19,4,4,2,21,1,19,2,false,true
gemma2_2b_base,v,1800,26,4,256,5,pre_rope,L19,H2,0.760,0.2557,8,projection_output_pre_attention_position_rotation,19,4,4,2,21,1,19,2,false,true
gemma2_2b_it,q,1800,26,8,256,5,pre_rope,L19,H4,0.760,0.0489,8,projection_output_pre_attention_position_rotation,19,4,4,2,25,0,19,2,false,true
gemma2_2b_it,k,1800,26,4,256,5,pre_rope,L25,H0,1.000,0.0380,8,projection_output_pre_attention_position_rotation,19,4,4,2,25,0,19,2,false,true
gemma2_2b_it,v,1800,26,4,256,5,pre_rope,L19,H2,0.760,0.1319,8,projection_output_pre_attention_position_rotation,19,4,4,2,25,0,19,2,false,true
