audit_name,task,capture_stage,pca_dim,cv_accuracy_mean
trec_mistral_base_l17_h26,trec_coarse,pre_rope,8,0.6788454992394962
trec_mistral_base_l17_h26,trec_coarse,post_rope,8,0.6740732841267996
trec_mistral_base_l17_h26,trec_coarse,pre_rope,16,0.7849293140816
trec_mistral_base_l17_h26,trec_coarse,post_rope,16,0.778286432009238
trec_mistral_base_l17_h26,trec_coarse,pre_rope,32,0.832672793784982
trec_mistral_base_l17_h26,trec_coarse,post_rope,32,0.827279464674276
trec_mistral_base_l17_h26,trec_coarse,pre_rope,64,0.8623634647949225
trec_mistral_base_l17_h26,trec_coarse,post_rope,64,0.8550947290409034
trec_mistral_base_l17_h26,trec_coarse,pre_rope,128,0.8758566978193146
trec_mistral_base_l17_h26,trec_coarse,post_rope,128,0.8744046311018041
codexglue_llama3_base_l19_h30,codexglue_code_language,pre_rope,8,0.9364999999999999
codexglue_llama3_base_l19_h30,codexglue_code_language,post_rope,8,0.9273333333333333
codexglue_llama3_base_l19_h30,codexglue_code_language,pre_rope,16,0.9703333333333333
codexglue_llama3_base_l19_h30,codexglue_code_language,post_rope,16,0.9706666666666667
codexglue_llama3_base_l19_h30,codexglue_code_language,pre_rope,32,0.9751666666666665
codexglue_llama3_base_l19_h30,codexglue_code_language,post_rope,32,0.9738333333333333
codexglue_llama3_base_l19_h30,codexglue_code_language,pre_rope,64,0.978
codexglue_llama3_base_l19_h30,codexglue_code_language,post_rope,64,0.9763333333333334
codexglue_llama3_base_l19_h30,codexglue_code_language,pre_rope,128,0.982
codexglue_llama3_base_l19_h30,codexglue_code_language,post_rope,128,0.9811666666666665
codexglue_mistral_it_l21_h18,codexglue_code_language,pre_rope,8,0.8480000000000001
codexglue_mistral_it_l21_h18,codexglue_code_language,post_rope,8,0.8398333333333333
codexglue_mistral_it_l21_h18,codexglue_code_language,pre_rope,16,0.9213333333333334
codexglue_mistral_it_l21_h18,codexglue_code_language,post_rope,16,0.9091666666666667
codexglue_mistral_it_l21_h18,codexglue_code_language,pre_rope,32,0.952
codexglue_mistral_it_l21_h18,codexglue_code_language,post_rope,32,0.9391666666666667
codexglue_mistral_it_l21_h18,codexglue_code_language,pre_rope,64,0.9621666666666666
codexglue_mistral_it_l21_h18,codexglue_code_language,post_rope,64,0.9555
codexglue_mistral_it_l21_h18,codexglue_code_language,pre_rope,128,0.974
codexglue_mistral_it_l21_h18,codexglue_code_language,post_rope,128,0.9706666666666667
