layer,head,silhouette_cosine
11,22,0.22895616028371785
11,14,0.2092481269165436
11,19,0.16445871195251996
11,13,0.14853244898641282
11,2,0.14559025265691017
11,23,0.14306693777760163
11,20,0.13928500529794652
11,31,0.13473658325390114
11,30,0.12497533975794355
11,12,0.12392992168332569
11,21,0.1222355020753175
11,15,0.11630567658742937
11,3,0.11508132109427738
11,26,0.11408258481563163
11,9,0.1138952796749087
11,8,0.11248770853517234
11,6,0.10469069026645243
11,10,0.10039553030666944
11,29,0.09714296748086032
11,0,0.0912175618903123
11,25,0.09088608989721764
11,1,0.08973041145552425
11,4,0.08805239656915304
11,27,0.0857552141872024
11,5,0.08561198451613042
11,24,0.08540441413860744
11,28,0.07889712727112584
11,16,0.07454395271935414
11,7,0.06474588320000571
11,18,0.058870164703115666
11,11,0.05558800182740191
11,17,0.041883202475348116
