model_alias,backend,model_path,dataset_source,rank,layer,head,relative_depth,silhouette_cosine
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,1,10,6,0.3225806451612903,0.22697053733254607
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,2,17,3,0.5483870967741935,0.2184203081844985
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,3,11,22,0.3548387096774194,0.21304680194195522
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,4,8,14,0.25806451612903225,0.2081853360221612
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,5,9,7,0.2903225806451613,0.20548287762128126
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,6,8,4,0.25806451612903225,0.20358875379169392
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,7,7,15,0.22580645161290322,0.20183532158141834
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,8,27,14,0.8709677419354839,0.1997011707837404
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,9,14,20,0.45161290322580644,0.19861137067710985
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,10,9,5,0.2903225806451613,0.1941410738473472
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,1,7,15,0.22580645161290322,0.21544595090232488
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,2,17,3,0.5483870967741935,0.21234425843099386
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,3,10,6,0.3225806451612903,0.2121069403823162
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,4,11,22,0.3548387096774194,0.2120910834515028
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,5,8,14,0.25806451612903225,0.19785643554466947
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,6,27,14,0.8709677419354839,0.19428928572324028
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,7,9,7,0.2903225806451613,0.18931508964755822
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,8,18,1,0.5806451612903226,0.18892444663271965
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,9,8,4,0.25806451612903225,0.18722498762182022
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,10,9,5,0.2903225806451613,0.18362251397864446
llama3_base,mlx,mlx-community/Meta-Llama-3-8B-4bit,subj,1,11,6,0.3548387096774194,0.17583673512323109
llama3_base,mlx,mlx-community/Meta-Llama-3-8B-4bit,subj,2,10,3,0.3225806451612903,0.1747375982045672
llama3_base,mlx,mlx-community/Meta-Llama-3-8B-4bit,subj,3,5,1,0.16129032258064516,0.17449963639093272
llama3_base,mlx,mlx-community/Meta-Llama-3-8B-4bit,subj,4,13,27,0.41935483870967744,0.17075635518285587
llama3_base,mlx,mlx-community/Meta-Llama-3-8B-4bit,subj,5,11,15,0.3548387096774194,0.17066037683505697
llama3_base,mlx,mlx-community/Meta-Llama-3-8B-4bit,subj,6,20,31,0.6451612903225806,0.1664701357879991
llama3_base,mlx,mlx-community/Meta-Llama-3-8B-4bit,subj,7,10,28,0.3225806451612903,0.16596412792090964
llama3_base,mlx,mlx-community/Meta-Llama-3-8B-4bit,subj,8,20,20,0.6451612903225806,0.16515639457869155
llama3_base,mlx,mlx-community/Meta-Llama-3-8B-4bit,subj,9,11,23,0.3548387096774194,0.1634147152884628
llama3_base,mlx,mlx-community/Meta-Llama-3-8B-4bit,subj,10,8,11,0.25806451612903225,0.16180423835259752
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,1,20,31,0.6451612903225806,0.2187041331644828
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,2,21,16,0.6774193548387096,0.19669198041765124
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,3,13,27,0.41935483870967744,0.19276681256306416
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,4,20,20,0.6451612903225806,0.18881682846107964
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,5,15,2,0.4838709677419355,0.18409569195668796
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,6,11,18,0.3548387096774194,0.17893247617197386
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,7,18,12,0.5806451612903226,0.1763553666342124
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,8,19,31,0.6129032258064516,0.17419175242790505
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,9,10,3,0.3225806451612903,0.17297650732180828
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,10,26,16,0.8387096774193549,0.17274956358425198
gemma2_2b_base,mlx,mlx-community/gemma-2-2b-4bit,subj,1,21,4,0.84,0.1663277455702913
gemma2_2b_base,mlx,mlx-community/gemma-2-2b-4bit,subj,2,19,2,0.76,0.16072326031037776
gemma2_2b_base,mlx,mlx-community/gemma-2-2b-4bit,subj,3,15,0,0.6,0.15908807464393698
gemma2_2b_base,mlx,mlx-community/gemma-2-2b-4bit,subj,4,12,1,0.48,0.15685172155030688
gemma2_2b_base,mlx,mlx-community/gemma-2-2b-4bit,subj,5,16,6,0.64,0.15497769614513887
gemma2_2b_base,mlx,mlx-community/gemma-2-2b-4bit,subj,6,17,3,0.68,0.1542174675752762
gemma2_2b_base,mlx,mlx-community/gemma-2-2b-4bit,subj,7,14,4,0.56,0.15166274919041536
gemma2_2b_base,mlx,mlx-community/gemma-2-2b-4bit,subj,8,16,2,0.64,0.1510601520977279
gemma2_2b_base,mlx,mlx-community/gemma-2-2b-4bit,subj,9,16,0,0.64,0.1509915462638463
gemma2_2b_base,mlx,mlx-community/gemma-2-2b-4bit,subj,10,9,6,0.36,0.15059601544602094
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,1,1,0,0.04,0.034547239098076075
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,2,5,3,0.2,0.03202471548751492
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,3,12,1,0.48,0.029480256297694667
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,4,3,1,0.12,0.02691685589464812
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,5,5,2,0.2,0.0268719336627141
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,6,1,1,0.04,0.025797787526681396
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,7,8,6,0.32,0.025108317920776998
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,8,8,5,0.32,0.024484602082331375
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,9,1,6,0.04,0.023818073444540518
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,10,8,4,0.32,0.02335893619782153
