model_alias,pool_last_k,best_layer,best_head,best_layer_relative_depth,best_layer_head_silhouette_cosine,target_layer,best_head_at_target_layer,best_head_at_target_layer_score,linear_probe_accuracy_loo,linear_probe_p_ge_actual_accuracy,silhouette_random_label_p_ge_actual,silhouette_random_label_null_max,mean_cka_to_best_head,mean_rsa_to_best_head
mistral_base,1,15,6,0.4838709677419355,0.07719032687966651,11,18,0.04115393942371251,0.775,0.009900990099009901,0.009900990099009901,0.007508167931077408,0.5803999862363262,0.47694411873817444
mistral_base,3,15,6,0.4838709677419355,0.08368385031820391,11,18,0.04356651787207664,0.7,0.009900990099009901,0.009900990099009901,0.00705322108079332,0.620880453817306,0.5367446921525463
mistral_base,5,15,6,0.4838709677419355,0.08466066647863027,11,18,0.04479857867595214,0.67,0.009900990099009901,0.009900990099009901,0.007329050467102136,0.7616467475891113,0.5966901543640322
mistral_it,1,15,6,0.4838709677419355,0.07900730249761218,11,19,0.03913459931968289,0.755,0.009900990099009901,0.009900990099009901,0.007416728383355597,0.575823470469444,0.475292585549816
mistral_it,3,15,6,0.4838709677419355,0.08576362522669022,11,18,0.041709062782231285,0.745,0.009900990099009901,0.009900990099009901,0.006117892373359448,0.6189249552065327,0.5332952867592534
mistral_it,5,15,6,0.4838709677419355,0.08631036291882238,11,18,0.043526902019060634,0.745,0.009900990099009901,0.009900990099009901,0.007863643476890739,0.757086455821991,0.5848040864352257
llama3_base,1,14,10,0.45161290322580644,0.06358581899772191,11,18,0.03965465049598699,0.785,0.009900990099009901,0.009900990099009901,0.009383300929537314,0.6871249589227861,0.5965744785724147
llama3_base,3,14,27,0.45161290322580644,0.0661576040597095,11,18,0.044048887837861796,0.735,0.009900990099009901,0.009900990099009901,0.008202278893167901,0.7154653206948312,0.6821755305413277
llama3_base,5,14,27,0.45161290322580644,0.06959078676269989,11,18,0.046728763512485366,0.77,0.009900990099009901,0.009900990099009901,0.011490105972240611,0.8388757936416134,0.7241988566613966
llama3_it,1,14,10,0.45161290322580644,0.06210312610377233,11,18,0.03811471011516721,0.75,0.009900990099009901,0.009900990099009901,0.0068337822137999596,0.7161073127100545,0.9470499677042807
llama3_it,3,14,27,0.45161290322580644,0.051615488100714035,11,18,0.03756096981957069,0.715,0.009900990099009901,0.009900990099009901,0.009819956774402595,0.8451429797757056,0.9696790191435045
llama3_it,5,14,27,0.45161290322580644,0.05320146493485074,11,18,0.03820044102705457,0.755,0.009900990099009901,0.009900990099009901,0.009378828045671011,0.8987299857601043,0.9735578510069078
gemma2_2b_base,1,14,7,0.56,0.040782113057626114,9,6,0.02683695194894022,0.71,0.009900990099009901,0.009900990099009901,0.01172777422998466,0.7860978245735168,0.7781129394258771
gemma2_2b_base,3,14,7,0.56,0.04640098247379235,9,6,0.026192314278265363,0.675,0.009900990099009901,0.009900990099009901,0.015669573196113486,0.7975278922489711,0.7805321046284267
gemma2_2b_base,5,14,7,0.56,0.047117881517763284,9,6,0.028658672937204494,0.7,0.009900990099009901,0.009900990099009901,0.018706635718780628,0.8578040940420968,0.8205654876572746
gemma2_2b_it,1,12,3,0.48,0.016514150490035514,9,7,0.004797798041639394,0.555,0.1485148514851485,0.009900990099009901,0.006800996195264936,0.8091634341648647,0.7497723698616028
gemma2_2b_it,3,15,0,0.6,0.02267181544640252,9,5,0.007814819031577137,0.62,0.0297029702970297,0.009900990099009901,0.005190321713730278,0.5655294741903033,0.5227673522063664
gemma2_2b_it,5,15,0,0.6,0.026360794031079448,9,5,0.010769110703913369,0.575,0.0594059405940594,0.009900990099009901,0.0058056251049137,0.589891357081277,0.5748936704226902
