model_alias,backend,model_path,dataset_source,rank,layer,head,relative_depth,silhouette_cosine
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,1,11,22,0.3548387096774194,0.22895616028371785
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,2,7,15,0.22580645161290322,0.22836197120498347
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,3,17,3,0.5483870967741935,0.22712069089758202
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,4,10,6,0.3225806451612903,0.22300525117704786
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,5,9,7,0.2903225806451613,0.21380172061081304
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,6,8,4,0.25806451612903225,0.21133999959015973
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,7,11,14,0.3548387096774194,0.2092481269165436
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,8,9,5,0.2903225806451613,0.2081755562532822
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,9,8,14,0.25806451612903225,0.20353320346730708
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,10,18,1,0.5806451612903226,0.20149879173044294
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,1,20,31,0.6451612903225806,0.22761455732046346
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,2,13,27,0.41935483870967744,0.21929253369642418
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,3,15,2,0.4838709677419355,0.20736637857251616
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,4,20,20,0.6451612903225806,0.19954971505042363
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,5,21,16,0.6774193548387096,0.19699303594589146
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,6,19,31,0.6129032258064516,0.1883137248166299
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,7,11,18,0.3548387096774194,0.18711511752394347
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,8,18,15,0.5806451612903226,0.18617869575412743
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,9,18,12,0.5806451612903226,0.1848433005436126
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,10,26,16,0.8387096774193549,0.1812114913276202
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,1,12,1,0.48,0.0410341950347603
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,2,1,0,0.04,0.04086606096006498
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,3,5,3,0.2,0.037394582322103714
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,4,3,1,0.12,0.03347575847999771
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,5,12,2,0.48,0.032682346645396966
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,6,14,4,0.56,0.032658459347359343
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,7,1,1,0.04,0.0322808813563196
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,8,12,5,0.48,0.031012823139900756
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,9,12,0,0.48,0.030388926310877546
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,10,14,6,0.56,0.03017741312374297
