q_capture_stage,model_alias,pool_last_k,layer,head,original_six_class_silhouette,abbr_excluded_five_class_silhouette_at_same_head,delta_five_minus_six,kept_sample_count,dropped_class,dropped_sample_count,kept_classes,note
post-rope,mistral_base,1,17,26,0.08946703819525922,0.10167210754533423,0.01220506935007501,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,mistral_base,3,19,9,0.0323255021640872,0.033455343035087674,0.0011298408710004731,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,mistral_base,5,8,2,0.014534263170731008,0.020217520779825218,0.00568325760909421,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,mistral_it,1,17,26,0.07355791084648095,0.0985229336582904,0.024965022811809456,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,mistral_it,3,19,9,0.03182603700841565,0.03445573527149406,0.002629698263078406,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,mistral_it,5,8,2,0.014898060531820554,0.020958304158945798,0.006060243627125244,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,llama3_base,1,17,24,0.058717926046171855,0.06590860669010598,0.007190680643934126,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,llama3_base,3,18,16,0.015370835682746395,0.01307358202436332,-0.0022972536583830746,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,llama3_base,5,18,16,0.007146702400549171,0.008479937116293046,0.0013332347157438756,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,llama3_it,1,18,16,0.047695824200597224,0.049183153642475864,0.0014873294418786404,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,llama3_it,3,20,30,0.017618650683180557,0.019282348446481568,0.0016636977633010114,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,llama3_it,5,20,30,0.008318258622852676,0.01513514499074633,0.006816886367893654,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,gemma2_2b_base,1,17,3,0.07972803291575135,0.08798129633459922,0.00825326341884787,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,gemma2_2b_base,3,17,3,0.01606164495829634,0.026668352397816966,0.010606707439520625,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,gemma2_2b_base,5,9,5,0.004653940203950948,0.009255523441517388,0.004601583237566441,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,gemma2_2b_it,1,7,6,-0.0029669246083350647,0.00881169774736868,0.011778622355703743,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,gemma2_2b_it,3,6,6,-0.005403243766257216,0.010352755372234141,0.015755999138491357,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
post-rope,gemma2_2b_it,5,6,4,-0.011354486839120327,0.004932149743243762,0.016286636582364088,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original post-RoPE 6-class best layer/head; not a full 5-class layer-head rescan.
